Year_Code,Country_Name,Country_Code,Adults_15_living_HIV,Adults_Children_0_14_15_living_HIV,AIDS_estimated_deaths_UNAIDS,Adults_children_0_14_15_newly_infected_HIV,Adults_15_newly_infected_HIV,Children_0_14_living_with_HIV,Children_orphaned_by_HIV_AIDS,Children_0_14_newly_infected_HIV,Incidence_tuberculosis_per_100000,Labor_force_total,Mortality_traffic_injury_100K,Population_female,Population_male,Population_total,Malaria_cases_reported,Suicide_mortality_per_100K,Tuberculosis_death_per_100K,Tuberculosis_case_detection,Tuberculosis_treatment_success_NewCases
YR2010,Turkmenistan,TKM,,,,,,,,,103,2174199,18.8,2584696,2502514,5087210,0,9.9,15,62,87
YR2010,Turks and Caicos Islands,TCA,,,,,,,,,22,,,,,30994,,,0,87,60
YR2010,Tuvalu,TUV,,,,,,,,,164,,,,,10531,,,13,87,93
YR2010,Uganda,UGA,1100000,1300000,63000,99000,73000,190000,1400000,26000,210,14270644,29.5,17074596,16840537,33915133,1581160,6.9,18,62,68
YR2010,Ukraine,UKR,200000,200000,12000,16000,16000,3100,39000,500,110,23063322,15.1,24698001,21172699,45870700,,22.5,17,67,69
YR2010,United Arab Emirates,ARE,,,,,,,,,2.4,5781880,11.7,2109194,6161490,8270684,,3.5,0.49,65,72
YR2010,United Kingdom,GBR,,,,,,,,,14,32127930,3.7,31932131,30834234,62766365,,7.7,0.59,89,81
YR2010,United States,USA,1000000,,,,43000,,,,4.1,157264492,11.5,156551423,152796770,309348193,,12.9,0.2,87,66
YR2010,Upper middle income,UMC,,,,,,,,,92,1291951878,20.46007248,1221792253,1242542506,2464534816,,10.07323454,6.2,80,81
YR2010,Uruguay,URY,12000,12000,1000,,,200,2900,100,24,1708950,15.8,1747220,1627195,3374415,,16.4,1.4,87,84
YR2010,Uzbekistan,UZB,,,,,,,,,97,12262758,12,14356211,14206189,28562400,3,6.9,13,63,86
YR2010,Vanuatu,VUT,,,,,,,,,69,103739,14.4,116333,119962,236295,8169,6.4,10,71,81
YR2010,"Venezuela, RB",VEN,95000,97000,2000,7000,6600,2200,19000,500,28,13215129,40.5,14537612,14490421,29028033,45155,3.4,2.4,80,82
YR2010,Vietnam,VNM,230000,230000,8600,17000,17000,4600,83000,1000,155,51022527,23.5,44009810,42922690,86932500,17515,7.1,22,71,92
YR2010,West Bank and Gaza,PSE,,,,,,,,,0.95,893891,4.6,1878271,1932831,3811102,,1.9,0.09,80,83
YR2010,World,WLD,30600000,33200000,1500000,2200000,1900000,2600000,19700000,300000,155,3199360950,18.48904542,3435031556,3492871137,6930656699,,11.24725815,21,54,84
YR2010,"Yemen, Rep.",YEM,6000,6300,500,1000,1000,500,3700,100,52,6545445,22.4,11678397,11928382,23606779,106697,8.5,7.1,73,87
YR2010,Zambia,ZMB,900000,1000000,29000,67000,56000,110000,670000,10000,495,5531068,27,6985738,6864295,13850033,,6.5,24,64,89
YR2010,Zimbabwe,ZWE,1200000,1300000,59000,73000,63000,,,,416,6854979,42.4,7227111,6859206,14086317,249379,11.2,12,76,76
YR2010,Latin America & Caribbean,LCN,,,,,,,,,43,282708510,18.42481618,301211122,294964405,596477846,,6.932169384,3.4,79,74
YR2011,Afghanistan,AFG,4700,4900,500,1000,1000,200,3200,100,189,8050184,,14444001,15264598,29708599,77549,,42,51,88
YR2011,Albania,ALB,1000,1000,100,200,200,,,,17,1209673,,1445814,1459381,2905195,,,0.19,88,92
YR2011,Algeria,DZA,9500,9700,500,1000,1000,500,2100,100,73,11334795,,18235997,18583561,36819558,1,,8,80,92
YR2011,American Samoa,ASM,,,,,,,,,6.2,,,,,55320,,,0.51,87,
YR2011,Andorra,AND,,,,,,,,,4.2,,,,,83751,,,0.34,87,100
YR2011,Angola,AGO,200000,220000,9900,26000,21000,19000,100000,4200,383,8697734,,12366067,11852498,24218565,1632282,,55,56,27
YR2011,Antigua and Barbuda,ATG,,,,,,,,,7.8,,,49845,45874,95719,,,1.4,87,17
YR2011,Arab World,ARB,,,,,,,,,,119451590,,176400834,188495044,364895878,,,,,
YR2011,Argentina,ARG,100000,100000,2100,5300,5200,1500,19000,100,27,18592982,,21280453,20376426,41656879,0,,1.7,87,49
YR2011,Armenia,ARM,3100,3100,200,500,500,,,,58,1460214,,1529747,1345834,2875581,,,5.3,73,78
YR2011,Aruba,ABW,,,,,,,,,9,,,53404,48649,102053,,,0.74,87,93
YR2011,Australia,AUS,22000,22000,1000,1100,1100,100,3000,100,6.3,11868407,,11173044,11166980,22340024,,,0.25,87,78
YR2011,Austria,AUT,,,,,,,,,9.2,4350847,,4298591,4093052,8391643,,,0.66,87,72
YR2011,Azerbaijan,AZE,6300,6400,500,1000,1000,100,1100,100,109,4552419,,4623725,4549357,9173082,4,,0.38,91,78
YR2011,"Bahamas, The",BHS,7100,7200,,,,,,,13,211459,,187323,179245,366568,6,,1.4,87,65
YR2011,Bahrain,BHR,500,500,100,100,100,,,,20,717703,,481963,796306,1278269,,,0.2,87,61
YR2011,Bangladesh,BGD,9800,10000,1000,1300,1200,500,5000,100,225,65536644,,76143513,77768403,153911916,51773,,56,45,91
YR2011,Barbados,BRB,2300,2300,100,200,200,,,,0,153327,,145985,134616,280601,,,0.36,,
YR2011,Belarus,BLR,11000,11000,200,1800,1800,100,500,100,67,4874930,,5070291,4402881,9473172,,,8.9,74,71
YR2011,Belgium,BEL,,,,,,,,,10,4880506,,5622454,5425290,11047744,,,0.48,87,80
YR2011,Belize,BLZ,3600,3700,200,500,500,100,1000,100,26,145439,,164662,164530,329192,72,,3.7,87,
YR2011,Benin,BEN,54000,61000,2400,4100,3100,7100,49000,1000,67,3807498,,4759210,4701592,9460802,422968,,9.8,64,89
YR2011,Bermuda,BMU,,,,,,,,,1.8,,,,,64564,,,0,87,0
YR2011,Bhutan,BTN,,,,,,,,,211,354540,,347687,392823,740510,194,,21,80,91
YR2011,Bolivia,BOL,18000,19000,1100,1000,1000,1000,9800,100,131,4776596,,5028274,5050069,10078343,7143,,3.4,65,82
YR2011,Botswana,BWA,310000,330000,5600,13000,12000,19000,100000,1200,480,1062065,,1037138,1014201,2051339,432,,30,66,76
YR2011,Brazil,BRA,660000,680000,14000,47000,46000,14000,130000,1200,45,101600638,,100856156,97830532,198686688,267146,,2.8,87,73
YR2011,British Virgin Islands,VGB,,,,,,,,,0,,,,,27901,,,0,,
YR2011,Brunei Darussalam,BRN,,,,,,,,,66,192391,,190489,203524,394013,,,1.8,87,66
YR2011,Bulgaria,BGR,3200,3200,200,,,,,,34,3343397,,3770998,3577330,7348328,,,2.4,86,86
YR2011,Burkina Faso,BFA,83000,99000,4900,3900,2600,16000,120000,1300,57,7235968,,8100460,7981444,16081904,428113,,9.5,58,77
YR2011,Burundi,BDI,76000,91000,5500,4200,2600,15000,120000,1600,138,4185677,,4602491,4441017,9043508,1571874,,25,50,89
YR2011,Cabo Verde,CPV,2400,2500,200,,,200,1600,100,145,225983,,255305,252762,508067,7,,5.4,53,64
