ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DIVERTED,AIR_TIME,FLIGHTS,DISTANCE
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,556,-5,14,4,826,-3,0,0,0,0,132,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,600,-1,13,15,825,-4,0,0,0,0,117,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,555,-6,14,3,815,-14,0,0,0,0,123,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,558,-3,24,4,825,-4,0,0,0,0,119,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,559,-2,13,3,819,-10,0,0,0,0,124,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,557,-4,12,6,823,-6,0,0,0,0,128,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,554,-7,15,6,820,-9,0,0,0,0,125,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,551,-10,16,4,828,-1,0,0,0,0,137,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,554,-7,14,7,815,-14,0,0,0,0,120,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,556,-5,12,4,814,-15,0,0,0,0,122,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,550,-11,20,9,844,15,15,1,0,0,145,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,603,2,12,5,815,-14,0,0,0,0,115,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,555,-6,12,9,839,10,10,0,0,0,143,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,549,-12,12,4,810,-19,0,0,0,0,125,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,555,-6,14,9,815,-14,0,0,0,0,117,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,555,-6,15,10,816,-13,0,0,0,0,116,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,553,-8,15,5,804,-25,0,0,0,0,111,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,558,-3,14,3,801,-28,0,0,0,0,106,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,600,-1,12,4,816,-13,0,0,0,0,120,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,555,-6,10,8,819,-10,0,0,0,0,126,1,950
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1131,16,14,6,1350,8,8,0,0,0,119,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1111,-4,13,4,1329,-13,0,0,0,0,121,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1110,-5,9,4,1327,-15,0,0,0,0,124,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,751,2,15,5,1013,-2,0,0,0,0,122,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,739,-1,15,9,1004,-2,0,0,0,0,121,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,739,-1,11,9,951,-15,0,0,0,0,112,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,,,,,,,,,1,0,,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,823,43,18,5,1041,35,35,1,0,0,115,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,752,12,16,10,1034,28,28,1,0,0,136,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,740,0,15,8,1013,7,7,0,0,0,130,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,740,0,14,7,1004,-2,0,0,0,0,123,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,738,-2,20,9,1015,9,9,0,0,0,128,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,748,-2,16,4,1011,-5,0,0,0,0,123,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,749,-1,13,5,1008,-8,0,0,0,0,121,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,737,-3,13,8,958,-8,0,0,0,0,120,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,850,60,13,6,1113,57,57,1,0,0,124,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,748,-2,18,8,1028,12,12,0,0,0,134,1,944
